字段1_文本,字段2,时间,字段3,时间1
电动哥,"驾驶性能：日常驾驶打个75分吧，电车里面算中规中矩，相比较油车平顺很多，日常驾驶较为得心应手,体验精确且反馈充分，日常红绿灯急转弯体验还可以，支撑较强，但根据糜鹿测试的极限转弯数据不是很好，海外测评为65km/h,建议习惯开mini的不要太浪,电池为三元锂电池，很良心，这点应该充分考虑了整体驾驶感受考虑的。综合来说。

内饰：这个要打90分，个人感受同级别里同算强的，氛围感极强，外面窗户边上也特地打上了Styled By Benz，整体看上去都很高质量，在同级别中充满了个性，白色塑料的个别的角度看上去会拉低质感，介意这个的可以选反色金内饰版本，也有黑顶的巴博斯版本不，不差钱的可以上。娱乐配备一般都很丰富，音响效果也还行，有个细节是意音响里面还带氛围灯，夜晚效果会比较好;　屏幕的首页小星设计感极佳，颇为时尚，橙色主题的UI也很惹眼（还没上市的小米汽车内心MMP！）。

外观设计：到处充满了圆润的设计，前脸45度角设计感极佳，正前脸有小部分不是很喜欢，车后部还有个类似钻石效果的smart标记，从车屁股看的话比较扎实，典型的跨界车的设计，整车各个区域都有包围设计，这样的设计会显著的防止小刮蹭带来的漆面损伤，维修成本也会下降，可以说是正常的专业,(PS:有些小电驴小碰一下就要上万块的维修)； 总体设计风格在马路上非常独特且引人注目，最近路上也慢慢变多了。(PS:有点像Mini)

续航：整体在中等水平，天气正常的话，日常上班班400km应该没啥问题，如果要上高速别开太快，这车不是低风阻设计，有些人120km/h是跑不了300的，冬天还要差点。充电桩设计非常漂亮，如果对桩有需求的这个点也算是优势。

智能：水平一般般了，跟新势力有一定的水平差距，但在线商城的设计又比较前卫，方向加热等配置可以在线买。

实用性：这个仁者见仁，只是带带人，买买菜，逛逛界没啥问题，要带全家出去旅游话实用性方面可能稍逊一筹。后排座位和行李空间相对较小，小物件可以放前备箱。

保养：听销售说是2万公里，保养一次，一次几百块钱，比油车要好很多，相对特斯拉这种几乎免保养的还是有差距。

质量：smart是吉利戴姆勒合资打造，据说是跟极氪是同平台的，质量应该还过得去。

总评：时尚设计，外观内饰都比较有范，操控与驾驶乐趣良好，配置尚可，续航中等水平，实用性一般，用车成本低。

适合人群：　骚男，年轻妹子，小宝妈，时尚大妈等！",2023-05-20,,
驾仕派,【驾驶感受】把精灵#1开起来，首先这台车的“电门”在跟脚程度和动力释放的平顺性上，会让我想起奔驰品牌旗下的另外一台电动车——EQC，作为奔驰品牌第一款投放国内市场的纯电动车型，EQC在当年极为接近油车的动力输出感受，令我大受震撼——“原来还有电车是这样的感觉”。当然，如果你在Sport运动模式下从静止加速，精灵#1给你来点什么“眩晕感”也不在话下，但是这种极具电动车特性的扭矩释放感，也就只在大力踏下加速踏板的那一刻存在，之后的动力体验也就只剩“轻快感”了。当然，在途中大力加速车头还是明显的向上扬起，动力储备谈不上激情，但刚刚合适且非常得体，我相信smart精灵#1的车主也不会经常有强动力需求。回想起燃油时代的老smart Fortwo和Forfour，那具1.0T的三缸动力系统确实无法提供正常的驾驶感受，不仅动力肉，而且震动大，即便是Brabus版本也没有本质上的改变。而同样是20万级的价格，新一代smart精灵#1在纯电化之后的动力质感体验，就是完全“不同世界”的产物了。作为一台采用前麦弗逊式、后五连杆独立悬架的后驱车，smart精灵#1在悬架质感上也一点都不“smart”。首先，这套悬架在行驶中有一种“厚重感”，轮胎对地面的贴服感明显，整台车的重心低得不像是一辆SUV。悬架在处理细碎震动时动作比较温柔，初段对细碎震动过滤不错，剩下传递进车厢的震动基本都受限于19英寸邓禄普235宽度/45扁平比轮胎，并且悬架中后段的阻尼感并不是很强，整个拉伸动作都显得轻柔。同时，悬架在回弹速度上也要比普通家用车更快，对车身横向动作的抑制出色，整个车身的动作很干脆同时舒适性表现也不错。总体上smart精灵#1的底盘感受介于普通家用车与运动型车之间，有着比较明显的欧洲车味道。至于转向方面，当然是浓郁的电子味道，和大多数同级别SUV一样，几乎没有路感可言。不过值得一提的是，smart精灵#1特地调快了转向机的回正力矩，尽管方向盘手感在小型SUV中算是比较重手，但驾驶亲和度上也完全没有任何门槛，对女性用户来讲更是友好。在驾驶坐姿和视野上，smart精灵#1是非常标准的SUV坐姿，再加上“气泡般”的车厢布局，整个IP台都在驾驶者的胸口以下位置，较高的坐姿再加上直立的A柱，smart精灵#1在驾驶视野上非常出色，相比其他纯电或燃油SUV，有着更低的机盖高度。,2022-09-23,,
Skyyis,"【购车经历】
人生中的第一台车，从概念车的时候就关注smart精灵了。四月份小订，6月6号11点刷了半天，终于订到车了。因为是自己开，考虑价格最终选择了中配pro。

【提车价格】
小订优惠了1000，最早一批还是顶配最划算，不过我中配的实际车价19.56，保险走的4s店，总共五千多，价格也可以了。

【驾驶感受】
12月初提车，目前总共也就开了280公里，上班跑跑高架，整体转向还是挺灵活的，加速也很快，舒适模式也有一点推背感，还没试过运动模式。底盘表现也不错，过一些坑洼人也不会跟着晃来晃去。Acc识别和跟车也还行，就是进路口不会减速，还是自己踩一脚吧。

【空间表现】
空间还有内饰什么的就不说了。个人觉得是足够了，网上视频评测都有了，当初也就是冲着这外观和内饰考虑的smart精灵。

【最不满意】
中配的轮胎问题就不多说了，厂家给了解决方案，我也没体验过更好的轮胎，开在路上感觉不出来啥区别。至于那个氛围灯比顶配少了好几处，不过我个人来讲也不是特别在意。前台的浅色反光，有时候是有，但其实不影响驾驶，后续再搞上官方的遮光个人觉得问题不大。目前最不满意的是这个冬天的充电速度，我在特来电充了两次，从充30%多充到80%多，都用了一个小时，快充桩的充电功率就在30千瓦左右。这个充电速度和那个冬季评测差不多，感觉有点慢。

【续航】
开了几次，现在冬天不开空调的话，在15千瓦时左右，开空调基本就奔着20去了。开动态续航会准一点，标准续航就图一乐了，但冬天充满电300多，夏天400多应该没问题。
总之，作为人生的第一辆车总体还是很满意的，有一句话说，如果你每天停车下车之后，会回头看一看你的车，那么就说明这辆车买的值了。",2022-12-22,上海,
车同轨,奔驰和吉利的答案，确实让人觉得很意外，见到Smart#1的时候，我似乎读懂了Smart品牌的定位。 【外观】 Smart#1颜值表现还是非常具有辨识度，整车采用了大量的圆润线条勾勒，灯组采用了贯穿式设计，点亮之后是拉长的X造型，前唇没有同其他新能源车型做成封闭式，反而进行了熏黑格栅装点，可以一定程度上优化车辆的空气动力学表现。 整车的车身侧面比例较为协调，前后均为短悬设计，这样可以合理地优化空间布局，带来更多车内空间。拼色设计的车身，也让整车看起来更加自然。 【内饰】： Smart#1的座舱设计则是由奔驰部门操刀设计，吉利方面负责落地成型，可以看到整车在座舱内保留了奔驰经典的出风口造型，掀盖式无线充电。整体的座舱质感还是颇为不俗的，非常具有豪华的味道。 座椅采用了打孔处理，支持座椅加热、座椅通风功能，但是通风需要花费1999元永久开通。这里的开通，是类似特斯拉的方案，硬件方面已经支持座椅通风功能，但是需要您为使用权付费，来达到软硬件结合使用的目的。整体的填充还是很不错的，软硬适中，同时支撑性很好。 【空间】： 换挡机构采用的是怀挡设计，车辆内部前排有着大量的镂空设计，可以放置包包、杂物之类。同时掀开盖板，还有专属的无线充电区，一旁是12V电源以及两个Type-C接口。 后排空间方面，整体的空间极为宽敞，地台略有隆起但是不会影响到乘坐体验，同时车内的拼色设计也比较顺眼，大量的氛围灯组件和亮面处理，让座舱的氛围感更加强烈。 【配置】： 还不错，L2级别的辅助驾驶水平，能够适应绝大多数的高速、高架表现，但是像复杂一些的匝道口进出，应急处理反应还是不能很好地做到，不过对于定位在20万级别的车型来说，也不能要求太多。 除此之外，Smart#1也是一款采用了无框车门配置的车型，是不是有点MINI的味道了，确实很相像，但是两者截然不同。 【驾驶感受】： 200kW的后置永磁同步电机确实很意外，输出感受不像其他家车型一样有着猛烈的推背感或者急加速的眩晕感，反而类似燃油车的处理方式，循序渐进。 在运动模式下深踩电门踏板，可以感受到343牛·米的扭矩输出澎湃而至，然后再深踩一脚，这种绵延且充沛的动能显然没有完全释放。事后仔细看了下，最高时速可达180km/h，不算差；毕竟很多电车在最高速度上都做了阉割，只能到150km/h或170km/h。 整车的侧向支撑是尤为注重的一个地方，相较于ID.3有着明显的差异，因为明显感觉Smart#1更加沉稳，没有明显的侧倾感。搭配着其线性的转向手感，操控起来还是颇为简单的，整车的转向阻尼是随速递增，非常适合新手驾驭，这可能也是Smart#1女性车主觉得好开的原因吧。 至于隔音和滤震效果，对于这台Smart#1来说，只能算得上是符合预期，虽然同为SEA浩瀚平台打造，但是显然极氪001的级别会更高。悬挂的配置还是差异明显，但是依旧有着相似的驾驶体验，这种6秒级别的破百水准也是大多数家用电车的水准，至于更强的四驱巴博斯版本，则需要更加精准的电控了。 【总结】： 对于这台“大聪明”来说，有着足够合适的性价比表现，同时具有不错的驾驶感受。 瑕疵也有，后备箱储物能力一般，但是灵活度较高，有隔间储物和放倒后滑动座椅。车机交互准确率不高，有时会出错。再就是续航的问题了，试驾车的电耗较高，来到了19.4kWh/100km。,2023-02-06,,
稳睿老男孩,媳妇的mini被水淹了，正好赶上电动化浪潮，且这车颜值真是小姐姐最爱，于是熬夜抢了个订单，国庆节提了车。 根据车身尺寸来讲，内部空间属实很大，全家5口出行一点也不觉得拥挤，后备箱空间够用，而且下方有个下沉储物盒，能放不少东西。 冲着Sic和热泵空调上的顶配，媳妇开车够用，没冲巴博斯，觉得没必要。 智能化比油车是优秀的，在一众电车里和比亚迪有的一拼，比问界理想特斯拉蔚来小鹏是远远不够的。上车开起来了中控大屏才完成开机，改个唤醒词过几天就给你忘了，手机蓝牙钥匙时灵时不灵的，座椅通风和方向盘加热配了硬件，使用需要额外开通服务包。自动驾驶用过，感觉就是个自适应巡航的水平，自动变道和超车还是傻啦吧唧的。 后驱车的性能比前驱车优秀，这是和卡丁车属性的mini库珀相比也不落下风，底盘通过性不错，悬架也挺有韧性，开起来比十来万的油车小SUV好太多了。电车嘛，提速非常快，有点性能车的感觉。 续航标称CLTC560，实际在电量95%到20%的时候能跑300公里左右，20%电量的时候就去充电了，设定的冲到95%，最后冲的慢，而且怕电池太饱了不安全。 目前用车9个月了，行驶近8000公里，小区0.8元/度的电费，目前电费花了1700元左右吧，能耗费用还是很低的，以前开mini一周300元油费，现在便宜多了。 刚提车的时候出现过一次中控屏黑屏，但不影响驾驶，出现过设置的两步解锁但会忘记，系统共升降了3次了，那些问题没再出现过。 作为mini的对手，这车还是推荐的，很有驾驶乐趣，空间够用，颜值在线，看着很有档次高。,2023-06-07,郑州,
Fz钉子,只能说21.66真香。有设计感，有吉利平台，车短，动力大，配置高，没有其他可选车型。小bug一些大毛病没有，坐等OTA升级，瑕不掩瑜。 好的就不说了，只说不太满意的地方，希望厂家能尽快升级： 坐垫角度不可调，只能上下前后； 靠背对我不友好，后背上半段悬空； 超时收门把，按压把手会导致锁车； 倒车非全程降低音乐，雷达响才降音，音乐忽大忽小； 倒车时侧面太近，360后视画面自动切换成俯视，看不清车尾情况； 首次启动起步没有自动打开360； 超低速刹车前段很不线性，少踩停不下，多踩易点头； 回收调最弱还有不少回收力度，还是需要微调电门进行滑行； 后排音响基本无声； 车速音量很生硬，没过度。 行人提醒不可关，其他品牌可关，但不记忆； 行驶无法看视频，其他品牌确认一次免责后，永久可看； 锁车自动升窗必须连同遮阳帘一起关闭，希望两者可以分开设置关闭； 主大屏主页右上角不显示天气； 钥匙在口袋靠近尾门自动双闪，再用自来水冲尾门会自动开启尾门，洗车一定一定要注意； 暂时就这些，有新的再来补充。,2022-11-27,福州,
Elysse0v0,【最不满意】 驾驶辅助过于鸡肋 【购车经历】 最开始看了奔驰和极氪，想买辆电车代步，看来看去发现南昌开了一家smart店在商场里，当时就被吸引过去了，心想smart变大了还挺好看，空间也还可以，试驾后了解了三电基本上就确定下来了，选配都选满了 【驾驶感受】 加速随叫随到，虽然加速不是那么快但是跟油车比起来起步很轻松，没有明显换挡顿挫感，而且动能回收也做的非常接近油车，主要车机系统确实做的不错，语音交互非常方便，开起来比油车轻松太多了,2024-03-05,南昌,
用户9366677388112,冬天续航真不敢恭维，新疆地区冬天-25度左右续航只有230km最优，呵护电池掐头10％电量去尾20％电量后续航差不多160km，真的很拉胯,,乌鲁木齐,2024-02-19
jeechang,"【最不满意】
先说不好的哈，
首先配置上有几处不符合这个阶段新车的标准了，比如行车记录仪，比如流媒体后视镜。我买了官方的行车记录仪，很遗憾目前来说很垃圾很不好用，在中控屏甚至还不能浏览
其次app目前非常垃圾不好用，很多基本的功能都满足不了，而车机部分我暂时就不吐槽了，相比极氪，这已经不错了，虽然还很不成熟稳定

【购车经历】
好看精致就够了，毫无迟疑的买了

【提车价格】
小定加大定优惠，到手216600

【空间表现】
够用了，这车主要是取代家里的ct200h，给我太太接送孩子的，后备箱小些，但是对于我家来说影响不大

【驾驶感受】
成熟度还行，作为品牌第一辆电车。基本上没有那种低级错误，需要指出的几个小问题分别是
1. 倒车入库的时候，龟速刹车会不够顺畅
2. 偶尔会有一些莫名奇妙声响，但不知道可持续的",2022-10-09,合肥,
小小肥虾虾,今天终于提车了，车有点小瑕疵不完美（后备箱门漆面运损修复，巴博斯后包围下沿刮蹭换件），补偿了一套原厂699脚垫+389尾箱垫，看在生产日期比较新（10月9号）还有就是等太久确实也不想换一辆再多等一个月就提了。不过确实要吐槽一下厂家品控运输，重庆这一批到的三台巴博斯全是有问题的😵💫 车还是很香的，外形除了前脸那两个鼻孔都喜欢，运动座椅和内饰也让人很有驾驶的欲望，一脚下去秒上120限速报警🤣就是车机语音交互不是很顺畅，小狐狸有点懵，车不带记录仪需要自己买，还得配专用接口的降压线才能适配原车预留的电源接头，充电桩倒是装挺快，线缆超30米要80一米也是服了气，我车位离电表直线距离9个车位居然还超了13米😑 最后希望厂家早点OTA，售后给力点千万别像交付一样拉胯了😆,2022-11-03,重庆,
悠悠真闲,"操控比试驾车更完美一点，车机挺流畅，小狐狸有时候会耳背😂，音响调教也比之前试驾车好，方向盘很轻巧，指向性也比较精准，很多车友说刹车点头，我觉得还好吧，可能跟模式有关。目前刚提车，还没上过高速，城市道路开下来总体感受挺好！hud好评，简洁清晰！
     小毛病有点，充电桩跟车至今匹配不上，待解决！下面的车机图因为在太阳下拍的，有反光，其实很清晰。。。
   车子真的很香，交付有点拉胯，如果不怕等的，推荐入手，毕竟好饭不怕晚😏",2022-12-23,上海,
我先打个窝得,先说优点 1、外观设计不错，女性杀手. 2、操控还算不错，属于二十多万运动属性车里还算不错的水平. 3、城市里开能耗控制的不错，夏天开空调不到13，高速尽量压着120跑能耗18出头，算一般吧 4、内饰设计时尚，用料一般. 缺点 1、车子做工有小毛病，车顶黑色装饰条微微翘起，后排车窗上镀铬条不平. 2、车机开机反应慢，座椅通风还需要额外付费. 3、驾驶位车窗在碰到下雨天升降时异响，天窗有时也异响，但不太明显. 4、主驾驶座椅长时间坐着不舒服，老感觉腰部下方支撑不够。 以上先说这么多，想起来了再补充。,2023-07-25,郑州,
丰继续懂,"【购车经历】 一年前也就21年10月开始已经开始留意电车，有了购买电车的欲望。 开始不断对比不同价格品牌的电车。 那时候model Y是我心目中的对象。 后面它提价了，我就觉得不香了。因为我觉得买一样的东西，还要比别人贵，多少都有点不舒服。 后面不断比较其他的车。 比如， Aion Y, 样子不行，不入我法眼。前大灯后尾灯都不够帅，空间是不错的。智能化方面是缺点。 Aion V, 同上，比Aion Y稍好一点。尺寸方面可以说很棒。露营合适。 先写这么多。",2022-10-31,广州,
何帅呆,开了五千公里了，目前来看，庆幸车没什么问题，但是卖车的问题肯定大得很，2022.6.26订车，预计2月交车，结果原车被砸了，又换一辆车，2023.3.20交车，比约定交车日期延迟一个多月提车，为什么补偿都没有，验车、临牌、提车、上正式车牌全自助式，什么有效的指导都没有，因为是3月交车，连2月内交车的大家都有的商城体验券都没有，我只能哈哈哈，一言难尽，不计较只能体现出我的高端素质和极品懒惰，但是如果有踩它的机会我绝不含糊。结论：非外貌击中心脏，不建议购买该车。,2023-07-19,武汉,
BenC830,"【购车经历】
可能是因为心动版的原因订车到提车15天左右，销售与售后还算可以没有网上说的那么不堪。

【提车价格】
处于3号上市前的一个月优惠力度是最低的，
既没有充电桩优惠也没有任何补贴

【驾驶感受】
基本上与油车没有太大区别，在电动车来说比较出色

【动力表现】
200瓦的电机带来的动力就是非常充沛，虽然没有双电机版本快但是日常用已经足够

【续航】
动力回收设置最弱，舒适模式空调氛围灯音响全开的情况下平均电耗14左右，意味着充满一次电市区续航有400公里多一点。高速续航在平均时速100来说电耗在18-19之间，差不多可以跑300公里左右，短途出行还可以

【最不满意】
在二十万的价位来说，配置不够丰富。",2023-06-07,福州,
玉韘,"【购车经历】
上市前就关注了，但店里还在装修，也没有试驾车，无法了解到实车的品质，所以也没有锁单，还退款了，中间看了闪电猫，毛豆3，要么驾驶感受不行，要么单踏板不适应，一直没下定决心买。后来店里工作人员发信息说有展车可以提，还能赶上最后的国补，试驾后就买了。

【驾驶感受】
这车操控很棒，指向精准，底盘很整，来回变道一气呵成，加速也快，一脚电门提速和毛豆y差不多，隔音中上，最高到120在风燥和胎噪下，完全不影响正常聊天。

【续航】
济南最近天气在零下三四度左右，因为家里有车库，单位也有车库，所以上下班路上一半时间开热风，能耗在16-18之间，满电续航在330-360之间，一个月充三四回电吧，谷峰电一个月还花不到100块钱，太特么爽了和不要钱似的。
【亮点配置】
没啥太亮眼的配置，中规中矩，就是那个360全景太垃圾，边界都偏到它姥姥家去了，希望以后能升级改善。
【最满意】
最满意的是老婆对这个车很满意，其它就都不是事了😀",2023-01-24,济南,
小青柑返场,"续航表显和实际动态差的很多，也许是这个巴博斯版本双电机多的原因只有 500 的 续航里程，比其他版本少了 60，城市里开开绰绰有余。
【驾驶感受】

这个版本的驾驶模式就不会让你去中规中矩的开，四驱模式还是很利索，什么时候要就什么时候给。它的加速就是让你感觉到快而且码表数字也跳的也很迅速，不知不觉就到 100 码了，城市里还是很危险的，最好少用巴博斯模式，太快全靠自己反应。

【购车经历】购车很顺利，展厅看好愉快的跟销售聊完加了微信，回家就在 App 上下了大定，按照销售的指导我如愿以偿的升级为巴博斯。一个月后就车就到了，去验车付款也很快，行云流水不拖沓。唯一遗憾就是国补没了，充电桩不送了，需要自己付钱买。还有就是 OTA 升级它是需要车主离开的，如果你要升级千万别在什么路上停车升级，它会锁车原地不动开始升级，最好找个地方停好慢慢升。",2023-05-18,上海,
老大爷尼采,半年得等待，换了心动才加速提车。 外观:没得说一下戳中了老婆的心❤️ 提到后的架势感受不错。车长大小正合适，内部空间比想象的要大。过年拉货后备箱显小了，后座放倒完美解决。 有些细节有待提高改善:刹车盘容易卡小石子儿（不知是个例还是通病），车机开机速度越来越慢，腰托位置一直调不到自己舒服的位置。 再说说续航:提完车正好赶上天津最冷的时候，试了高速，快速路，市区拥堵，乡村道路。得出结论，温度影响比其他因素影响续航更大，零下10度，电耗20+，续航300km左右。天气渐暖，空调不需要开了，电耗开出了最低13，续航逼近500km。 快速熟悉开车小技巧:不错的路况打开ACC，感受车控自己的控制，体会出最佳的加减速力度，学习车控电脑的开法。快速掌握省电小技巧。,2023-02-05,天津,
阿黎黎哇,第一次选择电车，标准女性车主思维，提车后真的挺喜欢的，先是被颜值吸引，后面实实在在开上车了，就被驾驶感受征服。 大聪明提车已有5个月，给大家简单分享我的用车感受吧！😍 配置方面非常实在，自动泊车、抬头显示，颜值高，技术又有点东西，朋友圈的小伙伴都超级羡慕哈哈哈哈大聪明上路开起来也比较平顺，丝滑安静，超车无压力真的很难相信它还有大天幕，爱出行的我真的爱惨！设计非常舒服，回头率嘎嘎高，外观在远处看起来很乖巧 我最喜欢的功能还是辅助驾驶，一开始我是属于那种不敢用的那种人，就是只相信自己不相信科技的那种人，但是培训老师就叫我要放心大胆的用，果然，不用还好，一用一发不可收拾，真的很好用，在高速上简直解放了我的脚，好开心！！ 总结一句：值得等，因为真的很香❤,2023-04-18,深圳,
Kpluto,还不错的一台小车，空间很惊喜，从价位来看结合了品牌风格和配置以及正经纯电平台的产品还是有很不错的竞争力的，要说有什么缺点就是没座椅腿托高度调节，车机系统有待优化。 动力表现很不错，0-140基本都能做到随叫随到，不同模式之间差异明显。 音响中规中矩，能听但没有到惊艳程度，低音高音都还差那么些感觉。 隔音的话在市区0-80基本没有明显噪音，再快些地盘下的细碎路噪会明显些。 车内气味很好基本没有一点异味 电耗还行15-20之间，我比较暴力，也还算不错吧 空间确实很不错，对于家里的第二台车来说的话，坐下四个成年人都不会觉得拥挤，而且前后排都有手机充电口还是很齐全的 最后，如果是首批车主的价格我推荐，现在的价格我就觉得你可以再考虑考虑,2023-02-25,深圳,
吹吹吹吹吹吹晚风,不说续航的话smart#1这车还是优秀的，官方标称560公里，实际只能跑出410公里，这个折扣打的有点大。平时在省内可以转一转，出省就得二次充电了。 外观好看，内饰我也喜欢。但是塑料件还是很明显的，工艺水平也没有benz的严谨劲儿，车门和B柱上的玻璃挡条都不在一个水平线上。平常的车子也就合格了，但这车落地26万，我觉得要求高点不过分吧。 平时就我和男朋友用车，他185的身高坐在主驾驶不顶头，坐在后排膝盖会紧贴前座，空间上smart#1是及格水平，能用。 加速很快，极限速度开过时速140，再快了感觉压不住，两个人在车上都会有点飘，而且也超速了，不安全。 智能辅助好用，下班前半小时在手机上打开空调，打开车门就是凉的，一滴汗都不会流出来，这个功能太赞了！,2023-10-23,保定,
踏板走天涯,smart精灵陪我走天涯快1年了，一直忙着玩，现在特过来给它点个赞.先说说里程，提车不到6个月就跑了3万多公里.从浙江跑到了新疆 青海 甘肃 内蒙 北京等全国2/3以上城市，走过戈壁，沙漠，雪山经历过暴雨，狂风，大雪，沙尘.经过这几大圈下来续航完全不用焦虑，特别是在地大物博的新疆也没让我半路抛锚.品质也是杠杠的一路下来也是没有遇到什么大的问题非常顺利运气好到连钉子都没戳到一次?还是非常靠谱的.作为电车再说说电耗方面，平均下来大概百公里是14-15kwh.直观的翻译过来就是跑个1万公里差不多也才1800元人民币，非常的经济.作为电车智能化这一块smart也做的非常好，特别是智能辅助让我一路轻松太多了.节省了更多的精力可以跑的更远更轻松.最长的一次一天跑了1450公里.爆赞！,2023-09-20,杭州,
索尼克的风,一直想买一台小车、动力好、提速快、可以座下四人、底盘高一点的小SUV，市区好开好停！ SMART巴博斯版基本可以满足我的要求！ 动力提速很快，操控一般、刹车需要提升！提车已经更换了BBS轮毂、米其林PS5轮胎、六活塞刹车套件在路上10天后改好！过弯避震太软估计还需要上一整套平衡拉杆。,2023-03-15,福州,
0Hermione0,一开始对交付时间抱怨了一下，提到车，是非常的喜欢，无论是外观还是内饰，新手开也很便捷，语音交互功能使用起来也很方便，已不至于新手忙脚乱，怀挡的设置也很方便操作 提车第一感想就是真香，配置锁定到车辆锁定虽然等了很久，不过后续动起来就很快，车辆到店到上牌更快，交付中心的效率很高 车内空间内饰对我来说挺大的，真皮座椅也挺舒服，年前提车还能享受国补。 外观波比粉我是盲定的，没有看过这个颜色的展车，不过和博主们拍的视频没什么色差，很好看，很少女，是那种很高级的珍珠漆面，很有光泽。 大小真的蛮适合女生的，无论是家用代步，还是作为女孩子的首台汽车，都是一个不错的选择，续航也是有四五百公里，家充峰谷电一晚也就15元了,2022-12-29,杭州,
福尔雕斯,底盘不错，毕竟和001同平台！外观是我最为看重的。盲定！视频一见钟情，实车更是精致小巧圆润都市风，内饰设计感非常强氛围营造也好！一看就是奔驰的功底，就是内饰偏硬的多了点。但这不妨碍车内饰的精致设计感！空间比较满意，就是尾箱纵向空间太小。不过上下班代步无所谓！电池续航这个怎么说！我全是运动模式大脚电门，我真没怎么关注过！我上下班一共25公里吧！我开了十天掉到40不到！我下回正常点开几天，app很好你很多活动适合年轻人的app！动力的话我反正开着没有眩晕感，可能不像油车那么有感吧！很线性。也很快！我喜欢提速是不断的踹你的感觉。这个太线性了！第一次开电车哈哈哈哈，20玩的车我之前也买过！但是又让我为他贴车衣的这是头一辆，爱啦！还有营销长点心吧昂！,2023-01-20,石家庄,
不谈风月86,灵1巴博斯版最早27号交付，比普通版的23号晚几天。今天一大早就去了，应该是全国用户首提。坐标重庆，我是6.6号晚上8点55的订单，首批到了两台巴博斯，一台车漆有点小问题，我运气不错是台完美车。 先简单说说，后续持续更新。 实车比图片大不少，加钱选的哑光灰。外形还是蛮帅的，比普通版多四边包围和侧裙，尾翼，引擎盖进气口(装饰)，好评。 动力方面巴博斯模式动力丧心病狂，好评。隔音比我以前的宝马进口1系好太多，好评，动力回收不突兀能调节力度也可以单踏板，好评，但是巴博斯模式下无法开启驾驶辅助，差评，因为我应该只用这个模式。 悬挂软硬适中，快速过弯稍有起伏，支撑虽比不上以前的宝马，但也没有开船的感觉。中评 车机分辨率低，差评，座椅方向盘翻毛皮，红色安全带，整车氛围感好。 为什么从普通版改巴博斯。我是这样考虑的，宝马同一个发动机高低功率调教价格能差出七八万，精灵巴博斯好歹实打实多了一个电机，并且带离合闪电切换后/四驱，外观多巴博斯套件，内饰质感也要好一些，4万差价我个人觉得还是能够接受,2022-12-08,重庆,
好的可以么问题,简单说一下这段时间的体验，整体上smart#1是优秀水平的车，开起来没有问题。 怀挡使用起来不习惯，而且我经常会有挂不上档的情况，建议大家一定要看清楚屏幕提示。 再说一下车门异响的问题，右后门在速度高的情况下会有很强烈的风噪，其他地方没有，只有右后门。我怀疑是无框车门漏风，但售后检测说没问题。 不同于其他人的看法，我觉得车机系统很流畅，启动动画很好看。听歌的软件是我常用的，还有免费流量，我觉得很香。 自动刹车好评，反应很快。有一次我在倒车的时候有个大爷骑着车子过来，还没到我正后边就给刹住了，我觉得应该是智能系统有预判功能，非常安全。 驾驶感觉调教得很舒服，完全感觉不到动能回收的拖拽感，和其他电车开起来完全不一样，好评！,2023-10-23,天津,
smart5560,配置是比较满意的，毕竟价位摆在那。 空间想对来说还是可以的，毕竟是个小车。 【购车经历】 一开始就大定了，交车比较慢、交车顺序混乱。 【驾驶感受】 驾驶非常流畅，操控性不错。 智能驾驶在高速上还是比较省心的，能够解放双脚和双手，保持注意力就可以了，可以和老婆吃吃喝喝，聊天唱歌。 【续航】 感觉市区还是可以的，估计能有330左右。高速就不太行了，估计也就是不到300吧。 【最满意】 氛围灯比较不错，车机反应也很快。最满意的就是车主群里其他人反应的大多数问题，我都没遇到，小车车还是很棒的。 【不太满意】 座椅和HUD目前还不能很好的记忆，也不知道是不是我不会操作… 另外，客服什么的反应比较慢…打了电话说尽快回复，结果过了两天才回电话。,2023-01-25,北京,
Phil79,本来是老婆看上的，结果现在被我独霸。 动力没的说，比我2.0t捷豹xe还要来劲，而且来得直接，不用等变速箱降档，不用等转速和涡轮迟滞。没有用车涯测过，估计能进6秒。 外观方面，个人感觉侧包围的线条值得调整，打破了车身线条流线。后期通过喷漆解决了。如果能像3号一样就更完美。 另外轮毂轮胎尺寸偏小，悬挂太高。打个比方：像一个四肢纤细的胖子。通过改装屌丝三宝也解决了。（轮毂，卡钳，绞牙）。 直接上的极氪大表哥的21寸轮毂，数据完美。轮胎数据245 40 21。表显时速100km的时候，实测时速105km。改了轮毂轮胎后估计重量和磨蹭增加，电耗平均16点几。 原车刹车其实力度和脚感没问题，不过遇到一次卡石子儿，产生巨大异响。行驶一段路程石子儿掉出来就没事儿了。网上很多车友反应遇到相同问题。所以还是改了6活塞卡钳。 内饰挺漂亮，塑料感，把方向盘喇叭盖包裹了真皮。,2023-06-10,成都,
