字段1_文本,字段2,时间,字段3,时间1
张俊凌,"纯电动车现在的形态开始往两个方向走，一种是依靠丰富多彩的多媒体配置，强调静态体验大于驾驶，另一种则是做好一辆车本身的驾驶乘坐属性，以纯电动为载体，优化原本动力、空间、操控等各方面的属性，而艾睿雅就是属于后者。

我一直觉得艾睿雅属于非常不上镜的类型，看图会觉得依旧是很保守的造型，但是当你看到实车的时候会发现意外的帅气，饱满又不笨拙的视觉效果在一辆2.1吨重的SUV实在难能可贵，修长又有点外扩的LED前大灯组把1900mm的车宽最大程度的放大，所以基本是一款车长只有4603mm的紧凑型SUV，依旧会感觉挺大、挺有气场。
外观有三个小细节特别突出。
第一点是艾睿雅在设计上尽可能在弱化“纯电动”的属性，跟传统的燃油车保持着很多一致性的设计，比如大面积的黑色“中网”，比如传统的车门把手，比如适当的黑色轮边等等，都是十分明显可以感知到的地方。
第二点是C柱的溜背处理特别讲究，不是为了溜背而溜背的线条真的看着会很舒服，没有一款SUV前面长得很正常，后面突然来个溜背的感觉，不突兀、不过分、不过度关注就是最好的形容。
第三点是尾部标识与LOGO本身，不是镀铬、不是扁平、不是黑化而是少见的枪灰哑光色，远看没有十分抢眼，近看内敛带些质感，就是会有“30+的成熟味道”的效果。

基于全新的云图架构，得到的感知就是前悬尾悬都可以做得很短，车身上就会给人很干练的感觉，将所有的（基本）部件都前移至前舱位置，那么从A柱开始垂直向下往后的所有区域都会很有用，也就得到了车厢内前后完全纯平的地台，空间更大了也更灵活了，所以艾睿雅可以让主驾的人从副驾下车，也可以让副驾的人从主驾下车，这点在侧方停车，所以有一侧空间十分狭小的地方尤为有用，内饰也装点了很多“星空般”的菱形氛围灯，气氛到位还不会夜店风，好评。

内饰突出点一样分为三点
第一是空间确实大，前排的活动空间，以及后排的活动空间，还有后背厢的实用空间以及后配座椅放倒的拓展空间都可以满足正常一家人的日常使用。
第二是电控的中央扶手与电动的中控下方储物格，在买了新车后一定会跟朋友、家人秀的功能，你稍微想想一下你女儿看到时惊讶的表情，你也会很开心。
第三是前置的双连屏一点点都不会反光，就算是大中午在阳光下打开天窗的情况，依旧会有很好的清晰度，大好评。

在驾驶上艾睿雅给得很丰富，或者说把能给你的都给了你，90度的大电池，CLTC续航里程623km，实测充满电的情况下，开启24.5度热泵空调、前排座椅加热、双人乘坐、加一个满载的28寸行李箱、方向盘加热也打开，室外平均气温5摄氏度上下，高速150km+市区100km，全程经济模式驾驶，掉电约52%。
悬架表现上是典型的舒适取向，低速状态下特别温柔，过起伏路面与坑洼就是尽可能在抚平的感觉，高速状态下也不会把悬架拽得特别紧，心态不需要切换，驾驶乘坐也很有信心，而且经济模式下不会让乘坐的人晕车！！！
运动模式则是典型电动车的调校风格，加速踏板迅猛且直接，不属于我喜欢的类型，但是肯定有人喜欢这个类型。
单踏板模式有独立按钮，风格比较激进，我个人感觉不太符合艾睿雅的定位，偶尔想要“逮虾户”一下运动模式完全够了。

小结：艾睿雅是一款很有自我想法与思考的纯电动车，不同于新势力的花样百出，也不会过于保守，续航很实在，驾驶很好开，空间够用又带点别出心栽，这么一看尼桑做家用车好像一直是这种方式，只是这次各方面的水准更高了，降价之后22.48万起的价格，同预算情况下可以列入预选。",2023-03-01,,
合车社,"从它的外观开始给大家讲起，那我们可以看到，它整一个外观看起来呢，是非常像概念车的感觉的，前脸非常的有科幻的味道，可以这么说吧，它的颜值呢，是目前东风日产车型里面颜值最高的，在我看来，你看一下它这个会发光的LOGO，以及非常锐利的这个大灯，以及LED日间行车灯带，看起来都是非常的酷炫。

那它这两边的导风槽呢，也是完全打通的一个状态，不像一些形式主义的车型，上面只是一个装饰的一个作用而已，而它的侧面线条是我最喜欢的一个部分，你看一下是吧，非常的流畅，而且呢有那种鼠标紧绷的那种感觉，那这个装饰条呢，从这个A柱的位置，直接延伸到了这一个C柱的位置，而且这一块直接溜下来，非常的动感给人感觉。

那在这个性能版上面，就我们这个四驱版本的高性能版本，它是属于这种枪色的一个设计，那在单电机长续航的版本上面，这个装饰条呢，是变成了银色的一个设计，看起来会更加的高级一些，但是这个感觉会更加的运动对吧。

尾部的设计，也是使用了贯穿式的一个设计，相当的主流了，但是跟一般车型不同的是，它不是直接切下来的，就说它这个灯面不是直接朝向人家的，而是做了一个斜切的一个处理，给你感觉呢还是非常特别的，那NISSAN这个LOGO呢，直接嵌进了里面，给你感觉呢相当的特别，如果说它的外观设计呢，是非常时尚动感的。

那来到内饰，你会发现它就变得很特别了，首先呢你把这个LOGO遮住一眼看过去，好像你也不会联想到日产的其它车型是吧，不觉得这是台日产车，因为它做的很简约设计的很简单，但是呢又很有设计感，首先呢是这一块木纹饰板，直接贯穿了整个中控，包括这边都是，那看起来是非常的大气的，中间呢是植入了一个空调控制面板，是一个触控式的，而且呢还有一个马达的回馈，那岛台的这个部分，同样也是同样的设计，看起来给你感觉呢就很清爽很特别，然后这个岛台更特别，因为它可以前后移动，你看它最后呢是可以去到这个位置的，那这样的设计有两个好处，第一个呢就是你停车的时候，比如说你停车停的很边呢，主驾下不去的时候，你就可以通过这个通道从副驾下来，那如果说你旁边坐了老婆或者女朋友，又或者说其它人的时候，你想过来跟它互动的话，也可以很方便的走过来，骑过来都可以，那剩下的呢就是这一块面板。

HUD抬头显示呢也没有缺席，那它全液晶的这个仪表盘呢，也可以显示像AR实景导航，限速等等这些功能呢非常的不错这个车的配置真是有点逆天了，基本上很多功能都是标配的，不管你是入门版还是旗舰版，都没有给你缺斤少两，那这一点真是非常的难得。 

后排空间表现，我想应该也不用太过去强调了，2,775毫米的轴距，腿部空间两拳多的一个距离，地台全平座椅非常的宽大。 

2022款的四驱高性能顶配版本，它的指导价呢是34.28万元不算便宜，不过好在呢它动力非常的强力，首先它的马力呢是435匹，扭矩呢是高达600牛米呢，所以这个动力有多猛，应该不用怎么去形容了嘛，毕竟电车嘛，加速快双电机也不用去强调了，毕竟续航高，开的舒服实在，才是电车最大的一个优势，快只是其中一项而已。

车重比是达到了50:50的，跟宝马以前宣传的是一样一样的，那它开起来的表现也相当的不错，比如说它这个车头的响应速度是非常快的，我们现在稍微打一点方向盘，车头马上就做出了响应，而且它的底盘舒适性以及它的这个，柔韧性也是达到了一个很好的平衡的，那它在过这些减速带的时候，可以很柔韧很舒服的过去，但是当过这些高速弯的时候，会发现它侧倾支撑很到位，然后那它咬线也咬的很准，不会说你在高速过这个弯的时候，咬线咬不住，要吃到隔壁的线过去那种感觉也不会，只是说它这个底盘呢，它的路感并不是很清晰，让人有点遗憾，

我开上它之后，我发现它的隔音真的是非常的不错，在高速上面它的风噪隔绝的相当到位，那在这个路面的话呢，它底盘上面传来的胎噪的声音，几乎可以忽略不计，根本上不会给你那种很嘈杂的声音，

我们再聊一下它的一个续航水平，那全系车型都是搭载了90度电的一个电池包，那我们开的这台呢，是高性能的顶配版本是吧，它的续航是最低的，只有530多的一个续航里程，那实际上我们把它充到90%呢，它显示350的这么一个续航里程，那350的这个续航里程其实，看起来很低是不是，但是它是可以做到1:1的，那之前我接手这台车的时候，好像是28%还是29%的电量，可以跑90多公里，那实际上我在市区，跑了10公里左右的路之后，我发现它能耗是可以做到14度电每百公里的，在高速呢开了40多公里，就总共一共开了50多公里之后呢，它显示的那个能耗呢是18到19之间，高速全程110左右这样开，18左右的一个度数的一个能耗，那所以说它这个电控做的呢，还是相当不错的，不会特别的耗电，那两吨多重的车来说的话，这个能耗水平已经接近特斯拉了。",2022-12-02,,
完美丿秀,4月1号：上午提的车，4月10号上好了牌。简单说下用车的感受： 1、提车：就近选择在当地日产专营店提的车。等保险生效打临牌临近中午，4S店还安排一顿员工餐，给个好评。 2、外观：主打双拼色的颜值非常高，金色黑色完美搭配。下雨天还特耐脏！贴近看才能看到污垢。选的是米色内饰，相对黑色看起来整体更立体一些。内饰设计整洁，到处真皮包裹，拍照很出片。 3、车机：两个字，流畅。两个12多寸的大 屏通过一个曲面连接在一起，一眼下去非常惊艳。屏幕操作起来灵敏，显色足够清晰。人机交互非常简洁，没有多余的东西。 4、性能：拿到车子以后，第一时间就上了高速。两驱顶配，调整为运动模式，整个车门非常灵敏，动力随叫随到。地板电非常刺激！ 5、操控：车身很重，2顿多的体量。所以整体重心非常低，开起来过弯很稳、很有信心。而且19寸的轮胎其实也很够用了，不管颜值还是驾驶体验，都非常棒。 6、隔音：我的是两驱长续航，前排两个车窗是双层隔音玻璃，官方也宣传在隔音方面做了很多功夫，所以我自己的感受是车速100以下非常非常安静，上到110以后开始会有明显的风噪。 7、续航：最后提一下电池的问题，充了两次电，都是显示560左右，实际行驶与掉电几乎一致。总结，ariya续航非常非常扎实！关于这车，每个人喜好不一样，任何地方都可以吐槽，唯独续航不可以！ 以上是优点。 目前遇到的问题，手机App乱报警，老是提示车窗未关，车门未关，实际返回去看都已经关好了。希望厂家能升级提供远程关窗，解决误报警问题。,2023-04-11,泰州,
randohira1581,"上个月买了ARIYA，这是我的第一辆车。

身边亲戚朋友都不理解，一个新手司机跑去买电车，而且还是一辆纯电SUV，庆幸的是，用下来整体还不算踩坑，说说几个感受和建议：

1，驾驶：
日常在城市道路行驶基本上可以做到“秒天秒地秒空气”，这是电车的优势了。如果对操控并不是追求得特别极致，感觉也不会跟其他电车有太大的体感区别。

2，用车成本
用车成本可以说相当低了，一开始还担心换电排队问题，但用起来感觉还好，基本不用怎么等。

3，续航，续航到底有多长？90度电池按道理续航可到623公里，实际上在城区普通驾驶打个9折左右，我一般百公里电耗可以控制在17千瓦时左右，折算下来能跑560公里左右。跑高速保守估计至少得打个八折左右，而且现在充电也都挺方便了。

4，HUD很实用，导航的时候眼神可以只盯着前方，方便很多。

5，辅助驾驶见仁见智吧。堵车的时候或者高速开久了会偶尔用用，让脚松弛下，其他情况一律不敢用，自动驾驶技术这玩意还很不成熟，不敢把身家性命寄望于它。

目前来看这车开下来整体上还行，车的美感也是在线的。",2022-11-24,,
Ariya9009,"【购车经历】
总共去了2次，第一次进店了解了下，第二次2月份销售说过几天官降6w邀请我去店里试驾，当天app下定5000定金。（当时觉得如果后续降价，老客户会补积分，觉得早晚都一样）
【提车价格】
上海体验中心（大融城）定的，当时小程序下定的时候系统都没设定好三电和整车只能分开买13000，现在只有11000。车价254300（三电整车质保+3500颜色），车险店里买的6100。可以自己上牌，交付店旁边有个代理上牌点，当天可以拿牌照，绿本，行驶证（官方费用120+手续费230块）。主要上海3个分所要约到下周，太慢了。12123app上抽的号码还行【尾号9009】有效期只有3天..就代理点办了，而且人都没，速度很快。还分期了15w 2年0息，没压绿本。上海是单独开票，不是武汉统一开的，总价是直接减掉的价格。
【驾驶感受】
适合家用，比之前用的比亚迪秦好多了，座椅软多了，过陡路没那么颠。刹车有自动驻车，比较方便脚不酸开起来像油车一样。刹车确实有点往前冲，多开开练练可以缓解这种感觉，总体来说还不错。
【电耗】
3.15号提车，测试下来天气10度左右13.8kw/100公里能跑到650公里左右 ，天气20度左右12.7kw/100公里能跑720公里左右。后续天气热一点开空调我再测一下续航。
【维修成本】
年初过保老的比亚迪秦变速箱总成还有个什么总成坏了..修修1w2…开了8年换了4次电池，空调坏过一次。这次买车还是买个质保心里放心点，买个心理安慰。有胜于无，质保政策比较人性化，平均下来每年不超过3w公里，家用足够了。

【亮点配置】
总体来说，中规中矩，车子太智能也不行，车机我也只用用收音机，导航也够了，静音方面我感觉也蛮好的。比起其他千篇一律的外观造型，Ariya能让我一眼就能看出他的与众不同。虽然说紧凑级的 但是内部空间挺大的，我1.85开开也没觉得小。就是停在地库的时候听完车可以听到右前方有风扇转的声音，等一下没这个声音了，应该是散热风扇的声音，常规环境完全听不到。综上还是比较优秀的一部纯电汽车",2023-04-05,上海,
珠海阿甘生,"这辆车试驾了一段时间，聊聊我对这辆车的一些感受吧！
首先我试驾的是两驱的长续航版本，这辆车配置确实没的说，基本上可以说入门就是高配了，那我开的这辆是二驱长续航版！

外观方面我就不说了，见仁见智！
讲讲内饰部分：
这辆车的内饰我个人确实很喜欢，基本上里面的能电动的都是电动的！像什么电动调节方向盘，电动座椅带记忆的，熄火后，座椅、方向盘会后退！
就连扶手箱、储物箱（隐藏）都是电动的，这你受得了吗？
反正我是非常喜欢那个隐藏的电动储物箱，藏私房钱绝对没有人能找得到！
还有一体式的屏幕，虽然没有像什么飞指的功能，但是屏幕里面的功能也是非常多的，像什么看电影用爱奇艺，听歌用酷狗呀，导航用高德，这些比较实用功能都是有的！

还有像什么内置的行车记录仪、自动空调、座椅加热这些也都是有的，还有一点我最喜欢也是觉得很新奇的一点，就是那个车内的灯，是感应的，这个是真的很不错的设计！

内饰也是很宽敞，座椅也是很日产，移动大沙发嘛！另外还有就是这车也有电动后尾门的，这点必需点赞！
至于这车我觉得我不太喜欢的一点是，这车的动能回收有点强烈，就点踩刹车会有一种强烈的往前倾的感觉！
至于像这车的续航问题，要打多少折，我倒不太清楚，因为我没有开太久这车，后续再给大家测评！",2022-10-09,,
合车社,就在特斯拉官方宣布降价的前两天，日产ARIYA来了个反向操作，两驱版反而升了1.26万元，后来看了下不对劲，于是开始降价，毕竟销量也并不出色，所以据说前段时间补贴高达6万元，我翻了一下销量情况，自上市以来，也就几十台几百台，很重要的原因首先就是价格，即便补贴后也要25w以上，算是东风日产在售车型里面最贵的。东风日产本身给人的印象就是主打家用实惠，现在卖这个价格，很多人会觉得偏贵。这款车设计好看又有创新，传统品牌做新能源车经常一看就知道它是哪个品牌，并不是说不好，就是缺乏一些惊喜感。ARIYA捂着车标很难看出它是日产车，中网采用钢琴烤漆的处理。配置虽然挺不错的，但是我个人认为缺乏一些比较实用的配置，全系没有座椅通风按摩、CarPlay/CarLife、第二排座椅靠背偏硬，最大的优势就是电池安全。,2023-04-27,,
惠丰163714554,车子用料可以，行驶品质好，跑高速稳，L2也很好用，续航比较真实可靠，定速110续航500公里，定速120跑450公里，缺点走低速减震硬，刹车停住会摇晃，语音不太好用，车机也是有一次断网，重启恢复，音响非常一般，没有座椅通风,2024-02-22,深圳,
江湖半颗牙92,因为是一年的库存车，价格很给力，所谓性价比说白了就是价格足够低，你就能接受很多很多缺点，同价位新能源车型对比过传统车企的大众id4纯净智享版，别克e5先锋版，差距不大，甚至某些方面有强项，新势力车型总感觉不如传统大厂靠谱些，一些装配工艺和驾驶质感等还是倾向于传统厂商，如今车市甭管新能源还是油车降价和割韭菜是主旋律，劝大家有多大能力使多大劲，别在价格上忧虑，抄底买的东西永远比够着买的香. 这车是我开过的电车中最接近油车行驶感受的，还算平稳，刹车确实有前后点头的现象，但平稳驾驶绝对不影响乘坐舒适，我认为电车续航比的是电池大小，90度电池在这，别太担心续航，你跑不远其它小电池更别想跑远，电控确实比不上特斯拉y优秀，操控还算中规中矩，车机够用，装配工艺在线，日产的座椅真的比较适合乘坐，如果能接受库存电车就别犹豫，这价格算合理了,2023-12-18,青岛,
1iLEEO,艾睿雅充电、续航的一些感受分享 两驱长续航版，官方续航里程623，实际应该打9折，快充很快，从最后一点电充到百分之百大概一个多小时，充满的话只能470左右，不过掉电快，像有虚电似的，不过可能有我开车老是深踩的原因，所以比较耗电，后来试过慢充一晚上后，能扎实很多，可以去到540左右，都说慢充对电池好一点，我对这方面无所谓，车子三电有质保，然后就是日产电池一直没出过问题很安全，我很放心，要是没啥事情，或者自家充电桩安好了，我有时间才慢充，一般情况，我都喜欢快充，消耗起来差不多。,2022-12-07,佛山,
快乐海风3s9,开了1千多公里，600高速，跟车巡航都还好，确实人不用太累，最满意加速性能，麋鹿测试性能不愧是同级别最好的，高速上100多公里时速紧急避险一把过去，车身很稳定。哪个刹车点头的问题确实有，自重2吨多又不是空气悬挂，可以理解，我是不纠结这个。还有底盘悬挂说好听叫路感清晰，说不好听就是啥都没过滤掉。这个我也不纠结，大部分都是一个人在开，当它是运动型SUV，想想加速跟90度电池还有价格，嗯还是很香的。智能化方面对我而言够用了。电耗跑一跑后期再分享。就这样了,2023-09-18,泉州,
千杯少,"【驾驶感受】
驾驶操作起来和油车比要轻，动力随踩随有，方向盘有点虚位，视野很好，后排的安全带报警不知道怎么消除，孩子在后排不喜欢被束缚，整体感觉从老日产车过渡过来毫无违和，多少有点轻车熟路。车子外观漂亮。回头率高，除了载物空间不如天籁，整体非常满意，加速超车小能手。
【购车经历】置换购车，4S店很给力，由于是第一辆，他们也是摸索着卖车，由于运输途中出现了些许刮蹭，总经理和导购前后帮忙处理了很多问题，让我很满意，给滨州远泰的领导点赞👍👍👍！我是22年夏天盲订的，但是上市价格超出了心理预期，绕来绕去的优惠和积分一度打消了购车的热情，11月回老家看到两个弟弟都换了特斯拉电车后，回来就不犹豫的提车了。

【最不满意】
后背箱储物空间太小，四口之家短途不够用，冬季续航会有里程焦虑
【最满意】
高速上驾驶辅助，智能变道。安全，省心省力。
【乘坐体验】
日产大沙发名不虚传",2023-04-27,滨州,
天使刷饭盒c,外观100分，颜值抗打，续航能力可以，东北冬天能达到7折左右，上车开了摇滚音响，确实是爽。 四驱的稳定性相当好，都说电车晕车，这个确实没有，稳得一批，内饰配置是个亮点，不过这个翻毛皮虽然看起来质感很好，就说不知道怎么收拾。 流媒体后视镜差了些，但是好在流畅性比较好。这个车最好的地方是辅助驾驶，开高速的时候开启辅助驾驶，非常舒服，自动驾驶 识别车道线 辅助变道等 确实惊艳到我了，本来还担心 这造型靠不靠谱，开起来才知道，确实稳的一批，辅助驾驶是我来过最好的。 虽然这个车看起来不大，但是坐进去并没有压抑的感觉，前后座椅的空间都不找，日产的大沙发是真不错，车辆第一次开的时候耗电量比较大，但是充了一次电后很快就降到了官方说的耗电量，厂家实在，没有虚标。,2022-12-08,沈阳,
用户8270232265013,开车一段时间，刚好碰上冬天来了，本来就对电车不太了解，现在更加是有点疑惑了，不过老话说不懂就问，经过身边的朋友和4s店的工作人员指点，我现在也掌握很不少冬天开车的技巧，虽然在冬天电车的续航会打折扣，但是ariya的电池很不错，90kw电池，很耐用，能开500多一点，还不错，电动汽车的特性就是扭矩大、加速快，冬天路滑，我会开得比较小心。两驱版本没四驱那么强劲，加速ok，然后要柔和也能柔和，不过续航这个可能也和个人驾驶习惯有关，我能开到500，自认为还算优秀了。要是我们这边下雪，我还想说要不要去换个雪地胎呢，但是现在看来应该是不用了，早上比较冷，路面结冰的时候我开着也还好，就不打算浪费这笔钱了。,2022-12-08,沈阳,
群宝是猛女嘿嘿,拥有自己的车已经有一个月了，7月订车，10月上市落定，11月提车，在等车这个过程还是挺煎熬的，恨不得早点可以拿到，现在大概开了38天左右了，实际感受还是挺满意的。首先续航方面，目前我倒没有怎么担心过，我一般我都是看着续航来开的，我一般都是用到剩下100多公里时候，我就会找个充电桩给续上，冬天的话，充一次走个500公里没问题的。这30多天真实体会比试驾那时候满意太多，比我老爸的油车开起来更带感，高速上感觉没之前疲惫了，辅助驾驶也挺好用。,2022-12-29,北京,
hujh,作为家用车或者说工具车，电动车是最好用的，加速平顺，跟脚，安静，随时随地停车开空调等人看电影，或者午休进车里休息。 ariya 作为日产的电动车，首先加速是很丝滑的，不管在城市还是高速绝对的动力左右家用车都是够用的。 噪音特别是底盘的噪音控制得很好，有一丢丢豪华品牌的质感，会有实际车速比主观感觉快的错觉，高速的风噪稍大。 底盘方面，过路面颠簸时感觉悬挂偏软，收敛慢一些，过减速带非常舒服，但是快速过弯时悬挂的侧向支撑有惊喜，2吨多多suv 过弯姿态控制得非常得体，轮胎是235宽度的邓碌普运动胎，极限挺高的给我的信心足够。 辅助驾驶意外的好用，方向盘修正动作几乎没有，居中能力强，有打灯自动变道但逻辑偏保守。 之所以最后选择，是因为看了电池结构的拆解视频，能感受到日产的诚意，以及从聆风积累的技术，作为家里的工具车或者说家用车，稳定和安全是最重要的。,2022-12-29,广州,
用户3445122644972,1、刚提车一个多月，因为油车驾驶习惯等问题，目前续航里程表显并不稳定，但是表显也在逐渐增多，目前表显在560km左右，其实至少400多公里续航可以保证。（我每天上下班100km左右来回，会跑高速，加乘客四个人，可以保持在120km/h左右的路程在50km以上）2、刹车前段比较疲软，车速较快时，需要深踩刹车才能刹住，驾驶习惯不太好的车主需要注意。3、外观以及内饰是真的很好看，作为一个女车主，感觉很多小细节都比较受女孩子喜欢：氛围灯、伸缩小桌板、可移动扶手箱、迎宾模式等。而且市面上这车数量保有量并不是很大，已经在停车场并问过好几次这是日产的什么车，大家的评论都是说很好看、很时尚。车辆空间也很大，自己前一辆车也是suv，ariya与之相比还会大一圈，但是因为自带的影像系统，停车并不困难（不太熟练的女车主也能很好掌握～）黄金右脚的我能开出12.4的电耗！真棒！,2023-03-16,苏州,
清新悦耳,"1、	提车

2023.7.14中午提的车

1、	提车，中规中矩，整体挺好的；
2、	外观：一开始不是被颜值吸引的，艾睿雅属于耐看型的，当然很多人说第一眼好看；琉璃金外观，米色内饰。
3、	车机;流畅，够用。12.3英寸，一体屏；操作灵敏，不花哨；
4、	性能：两驱顶配，体验了，几种模式，以及单踏板，试试了B档，因为油车也开，还是喜欢D档+标准模式。
5、	隔音：前排是隔音玻璃，100以下很安静，110-130，风噪不明显，胎噪明显，相比逍客好太多了。
6、	续航：这是提车的最大原因，续航很满意，动态调整，一般不充满，最近一次充满，600，图片是98%，598续航。
电池相对安全，靠谱，品控还要努力。",2023-09-03,上海,
李淡城,外观，设计流线型、好看，虽然车略显短了点。 内饰，是真的很简洁大方、也有高级感，到处都是软包，空间也真是大，特别是前排空间，专门的设计让人再也不用担心停车后不好下车了。 动力，单电机长续航版本动力随叫随到没有一丝迟疑，这车的优势是在高速行车时的再加速能力。 续航，显示的是动态续航，真实精准。有几次特别充满电后试跑，市区道路行驶，电耗在11-14之间，续航能达到630公里，个别车友在市区居然跑出了660+的续航，高速道路行驶，时速100公里电耗在15-17之间，续航能跑520公里，时速120公里电耗在17-19之间，续航能跑480公里左右。本人是梅州人，试过一次途中不充电从广州海珠区跑回到梅县，全程390公里到达后还有18%的电。 乘坐舒适性很好，动能回收力度适中不易晕车。 缺点是悬架较软，没有座椅通风、车联网的APP过少。,2023-06-06,广州,
请call谢飞机,"优点：
1.迎宾 模式时的效果非常不错，提车时把所有模式都打到on， 自动大灯，自动上锁解锁，自动雨刮....
2.底盘韧性不错，行驶质感满意，特别是过减速带和弯道比较有信心
3.续航里程🉑，一般不开空调550㎞以上，开空调大概450㎞左右
4.空间足够大，前排通过性好，方便副驾驶进出，特别是...在停车位不方便主驾下车时
5.空调给力，制冷效果比较好



缺点:
1.很喜欢那个日产 logo亮灯的样子，可惜行驶时不能亮灯。 
2.没有座椅通风，只有加热，在南方不太实用
3.不能用手机控制开关窗，免钥匙携带等APP功能，对比起其他新能源车较为弱势。
总体 还是非常满意，特别是静谧性很好，地盘韧性也不错。",2023-06-13,惠州,
海星连,一是外观不错，俊朗大气。在众多电动汽车中，外观是最中看的，有油车的风范，非常抢眼； 二是续航比较放心，减少了长途焦虑。东风日产是比较中规中矩的，说有623续航里程，是可信的。购车半个月，全部在市区跑，没有实锤实验，单凭日常使用中推测。等有机会，拉个长途实测一下； 三是空间够大，适合长途旅行。无论前排后排，空间足够应付，后排沙发?️座椅宽敞舒适，左右移动方便。车内几乎没有什么异味。高度有点美中不足哈； 四是使用成本不好，可以放心大胆用车；具体测算了一下，加40度电32元出头，跑200公里左右，使用场景主要是市区上下班，接送家人空调等待。 五是驾驶手感不错，有油车的味道。 六是安全技术支持到位，响应提示快。 七是智能技术适用，方便驾驶。现在比较常用的是标准模式、自动制动AUTOHOLD。个人体会市区用车标准模式不错，松电门减速明显，刹车距离短。而AUTOHOLD简化了灯红灯和塞车情况下走走停停的操作。,2023-06-13,湛江,
宽宽车子,两驱长续航版本配置丰富，市区内使用能耗较低，个人觉得缺少两后门双层玻璃，以及无钥匙进入。此车空间足够大，车内无座椅通风，仅有四座加热功能。抬头显示位置略微偏右一点，且不可左右调整。前排安放手机的位置还有待开发，希望后续厂家能提供车机对接方法！驾驶感受非常好，行驶质感细腻，转向轻柔灵敏，电动调整非常方便。驾乘视野开阔，座椅软硬适中，乘坐舒适。 本人在购车第七天出外地，高速途径孝感服务区（广州方向）充电时，EV系统关闭（修复后技师告知充电桩导致），拖车至授权经销店电脑检测修复，高速拖车费不多，但还在协调，希望厂方代表给予解决。 我对这台车还是非常满意的，希望在日后的日常使用中能够再多多发现它的优点！也希望大家都能选购到自己喜爱的车子！,2023-04-07,石家庄,
daiyunhao,"非常出色的一款车，需要提升交付过程，售后服务好。

车辆本身：车辆出色
1、四驱车型 动力强劲 随踩随到
2、NVH出色，虽然是四驱高性能版本，只有前排夹胶玻璃，但车内几乎没有噪音。
3、舒适性好，日产的座椅和悬架的调教毋庸置疑
4、辅助驾驶，符合预期，极大减少驾驶员疲劳，并且自带变道辅助。

交付过程：厂家还需要加速向to C模式转型。
1、交付时间一改再改
2、交付时间未定，先交全款，
3、销量少，4s店人员对于订车过程不熟悉
4、未能做到全国统一价格，在江浙一带的提车价格要低于北京一两万。

售后服务：符合预期，好
1、积极安排试驾，有耐心；
2、车辆交付出现小问题，积极协调厂家维修；
3、处理问题迅速，给予客户补偿，有担当；
4、订车后，厂家有服务管家，建立微信群，和4s店一同，多对一服务。",2023-05-01,北京,
JackXu438,买车快3个月了，也跑了快5000公里了，跑了3次长途，其余都是在市区，作为15年老司机，感受比较深，总体不错，值得推荐。设计前卫，质感用料都不错，续航扎实。目前没遇到过故障。质量我是相信的。没有脱离车的本质。车是用来开的。,2023-04-21,上海,
dj信仪,艾睿雅是自己第三部电车了！这车继承了日产的传统优势，舒适，非常适合家用！外观也时尚，一开始刷到的时候，不断地在抖音和懂车旁上看到这车，越看越好看，越看就越喜欢，所以后来果断的把之前XP换了这个，虽然置换也亏了不少！ 关于这车的续航，它跟其他的电车不一样，它每次充满电都会根据你之前的驾驶习惯给出一个真实的续航数据，由于我自己是在小县城使用，每次就是两三公里的路程，所以走走停停，因此我的续航显示500多，但如果在广州等大城市走，相信会跑到600多的。因为我自己也有这样的经历！续航是真心不错的！ 最后说说品质，这车的安全性能不错，包括辅助驾驶、自动刹车等这些功能确实不错，也正是这种传统车企的优势！ 其实电车真的好用，只有做好计划，诗和远方都可兼顾！,2023-06-06,清远,
乾元天宝,"外观很饱满 充满科技感。特别喜欢车头车尾的轮廓灯。
大沙发坐着舒服，关上车窗很安静。
内饰比较简约但是有档次。没有花里胡哨。

【提车价格】
21.68
【续航】
续航很扎实623公里没有虚标。充电也快从40到90大概30-40分钟

【最不满意】
不满意的地方也有，日产智联APP总是提示车窗没关。

【驾驶感受】
油门刹车调校的很线性，虽然轻但是好控制。


【购车经历】
北京地区4S还是有店端补贴的 1万起步。如果没有你掉头就走。如果是展厅车会有更大幅度的优惠。贷款手续费也可以免。什么出库费也没有。总之就是标价直接减6万再减一万起步。
【亮点配置】
后排座椅加热，全景可开启天窗和电动遮阳帘太有用了",2023-04-08,北京,
懵车D,外形击中自己的喜好，内饰精致，功能配置除想要的通风座椅没提供，其它都能满足自己需求，辅助驾驶开起长途足够舒服，续航经过几次长途考验，发现车机提供的实时显示到达目的地的剩余电量百分比，准确得让我大大缓解了焦虑，市区通勤更是续航扎实，稍稍控制好脚法，可以在合理使用区间(表显电量10-90%)轻松达成500+km的行程，很庆幸自己第一次买电车虽仓促(刚买不久就降价)，但品质到目前还令人满意。,2023-06-07,广州,
